OP	OPID	Steekproef	Mode	HHPers	HHSam	HHPlOP	HHLft1	HHLft2	HHLft3	HHLft4	WoPC	WoGem	Sted	GemGr	Prov	Corop	BuurtAdam	MRA	MRDH	Utr	Geslacht	Leeftijd	KLeeft	Herkomst	BetWerk	OnbBez	MaatsPart	Opleiding	HHBestInkG	HHGestInkG	HHLaagInk	HHSocInk	HHWelvG	HHRijbewijsAu	HHRijbewijsMo	HHRijbewijsBr	OPRijbewijsAu	OPRijbewijsMo	OPRijbewijsBr	HHAuto	HHAutoL	OPAuto	BrandstofPa1	XBrandstofPa1	BrandstofEPa1	BouwjaarPa1	KBouwjaarPa1	KGewichtPa1	TenaamPa1	BrandstofPa2	XBrandstofPa2	BrandstofEPa2	BouwjaarPa2	KBouwjaarPa2	KGewichtPa2	TenaamPa2	BrandstofPaL	XBrandstofPaL	BrandstofEPaL	BouwjaarPaL	KBouwjaarPaL	KGewichtPaL	HHMotor	OPMotor	HHBrom	OPBrom	HHSnor	OPSnor	HHEFiets	HHBezitVm	OPBezitVm	FqLopen	FqNEFiets	FqEFiets	FqBTM	FqTrein	FqAutoB	FqAutoP	FqBrSnor	FqMotor	OVStKaart	WrkVervw	WrkVerg	VergVast	VergKm	VergBrSt	VergOV	VergAans	VergVoer	VergBudg	VergPark	VergStal	VergAnd	BerWrk	RdWrkA	RdWrkB	BerOnd	RdOndA	RdOndB	BerSup	RdSupA	RdSupB	BerZiek	RdZiekA	RdZiekB	BerArts	RdArtsA	RdArtsB	BerStat	RdStatA	RdStatB	BerHalte	RdHalteA	RdHalteB	BerFam	RdFamA	RdFamB	BerSport	RdSportA	RdSportB	Jaar	Maand	Week	Dag	Weekdag	Feestdag	Weggeweest	RedenNW	RedenNWZ	RedenNWW	RedenNWB	AantVpl	AantOVVpl	AantSVpl	EFiets	AutoEig	AutoHhL	AutoLWg	AutoLPl	AutoBed	AutoDOrg	AutoDPart	AutoDBek	AutoLeen	AutoHuur	AutoAnd	ByzDag	ByzAdr	ByzVvm	ByzTyd	ByzDuur	ByzRoute	ByzReden	ReisduurOP	AfstandOP	AfstandSOP	Verpl	VerplID	VerplNr	Toer	AantRit	Doel	MotiefV	KMotiefV	MeerWink	AardWerk	VertLoc	VertGeb	VertPC	VertPCBL	VertGem	VertProv	VertCorop	VertMRA	VertMRDH	VertUtr	AankGeb	AankPC	AankPCBL	AankGem	AankProv	AankCorop	AankMRA	AankMRDH	AankUtr	PCG	GemG	PCBLG	AfstV	KAfstV	Hvm	HvmRol	KHvm	VertUur	VertMin	KVertTijd	AankUur	AankMin	Reisduur	KReisduur	ActDuur	Kind6	VolgWerk	SAantAdr	SDezPlts	SPlaats1	SPlaats2	SPlaats3	SPlaats4	SPlaats5	AfstS	AfstSBL	SVvm1	SVvm2	SVvm3	SVvm4	SBegUur	SBegMin	SEindUur	SEindMin	CorrVerpl	GehBLVer	Rit	RitID	RitNr	AfstR	AfstRBL	KAfstR	Rvm	RvmRol	RAantIn	KRvm	RVertUur	RVertMin	RAankUur	RAankMin	RReisduur	RReisduurBL	RVertStat	RAankStat	RTSamen	RCorrSnelh	RVliegVer	FactorH	FactorP	FactorV
0	900002	1	1	1	1	1	0	0	0	1	2332	546	1	6	9	25	0	21	17	21	2	27	7	1	2	0	1	4	3	4	8	9	3	1	0	1	1	0	1	1	0	1	1	0	0	2012	2	1	1	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	3	3	3	1	5	4	3	2	4	5	5	0	7	1	0	0	2	1	2	2	0	0	0	0	1	13	13	7	14	14	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	2022	9	38	22	5	0	1	0	0	0	0	4	0	0	5	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	11	40	52	0	1	30482498198002	2	0	1	1	10	7	3	12	4	0	2324	1	546	9	25	21	17	21	0	2332	1	546	9	25	21	17	21	0	0	0	19	3	8	4	5	15	50	8	16	6	16	4	230	0	9			 	 	 	 	 											0	0	1	3048249819800201	1	19	0	3	8	4	11	5	15	50	16	6	16	0	000	000	13	0	0	292.4681802465112	292.4681802465112	106750.8857899766
0	900002	1	1	1	1	1	0	0	0	1	2332	546	1	6	9	25	0	21	17	21	2	27	7	1	2	0	1	4	3	4	8	9	3	1	0	1	1	0	1	1	0	1	1	0	0	2012	2	1	1	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	3	3	3	1	5	4	3	2	4	5	5	0	7	1	0	0	2	1	2	2	0	0	0	0	1	13	13	7	14	14	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	2022	9	38	22	5	0	1	0	0	0	0	4	0	0	5	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	11	40	52	0	1	30482498198003	3	0	1	11	10	7	3	12	1	0	2332	1	546	9	25	21	17	21	0	2332	1	546	9	25	21	17	21	0	0	0	7	2	8	4	5	19	56	12	20	1	5	2	162	0	9			 	 	 	 	 											0	0	1	3048249819800301	1	7	0	2	8	4	11	5	19	56	20	1	5	0	000	000	13	0	0	292.4681802465112	292.4681802465112	106750.8857899766
0	900002	1	1	1	1	1	0	0	0	1	2332	546	1	6	9	25	0	21	17	21	2	27	7	1	2	0	1	4	3	4	8	9	3	1	0	1	1	0	1	1	0	1	1	0	0	2012	2	1	1	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	3	3	3	1	5	4	3	2	4	5	5	0	7	1	0	0	2	1	2	2	0	0	0	0	1	13	13	7	14	14	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	2022	9	38	22	5	0	1	0	0	0	0	4	0	0	5	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	11	40	52	0	1	30482498198004	4	0	1	1	10	7	3	12	4	0	2332	1	546	9	25	21	17	21	0	2332	1	546	9	25	21	17	21	0	0	0	7	2	8	4	5	22	43	13	22	51	8	2		0	9			 	 	 	 	 											0	0	1	3048249819800401	1	7	0	2	8	4	11	5	22	43	22	51	8	0	000	000	13	0	0	292.4681802465112	292.4681802465112	106750.8857899766
1	900003	1	1	2	2	3	0	0	0	2	5409	1991	3	5	11	35	0	21	18	21	1	29	7	1	3	1	2	4	7	8	8	9	6	2	0	2	1	0	1	2	0	1	2	0	0	2013	2	3	1	1	0	0	2003	1	2	2	7	7	6	9995	9	7	0	0	0	0	0	0	0	2	3	2	2	5	5	5	1	2	5	5	0	4	1	1	0	0	2	2	0	0	0	2	0	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	2022	8	31	4	5	0	1	0	0	0	0	4	0	0	5	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	100	560	0	1	30832787198001	1	0	1	2	1	1	3	12	1	0	5409	1	1991	11	35	21	18	21	0	5751	1	762	11	36	21	18	21	0	0	0	250	10	1	1	1	7	30	3	7	55	25	6	620	0	1			 	 	 	 	 											0	0	1	3083278719800101	1	250	0	10	1	1	1	1	7	30	7	55	25	0	000	000	13	0	0	162.96339861874284	325.9267972374857	118963.28099168227
0	900003	1	1	2	2	3	0	0	0	2	5409	1991	3	5	11	35	0	21	18	21	1	29	7	1	3	1	2	4	7	8	8	9	6	2	0	2	1	0	1	2	0	1	2	0	0	2013	2	3	1	1	0	0	2003	1	2	2	7	7	6	9995	9	7	0	0	0	0	0	0	0	2	3	2	2	5	5	5	1	2	5	5	0	4	1	1	0	0	2	2	0	0	0	2	0	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	2022	8	31	4	5	0	1	0	0	0	0	4	0	0	5	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	100	560	0	1	30832787198002	2	0	1	8	7	4	0	12	3	0	5751	1	762	11	36	21	18	21	0	5751	1	762	11	36	21	18	21	0	0	0	20	3	1	1	1	18	15	11	18	20	5	2	25	0	9			 	 	 	 	 											0	0	1	3083278719800201	1	20	0	3	1	1	1	1	18	15	18	20	5	0	000	000	13	0	0	162.96339861874284	325.9267972374857	118963.28099168227
0	900003	1	1	2	2	3	0	0	0	2	5409	1991	3	5	11	35	0	21	18	21	1	29	7	1	3	1	2	4	7	8	8	9	6	2	0	2	1	0	1	2	0	1	2	0	0	2013	2	3	1	1	0	0	2003	1	2	2	7	7	6	9995	9	7	0	0	0	0	0	0	0	2	3	2	2	5	5	5	1	2	5	5	0	4	1	1	0	0	2	2	0	0	0	2	0	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	2022	8	31	4	5	0	1	0	0	0	0	4	0	0	5	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	100	560	0	1	30832787198003	3	0	1	1	7	4	3	12	4	0	5751	1	762	11	36	21	18	21	0	5409	1	1991	11	35	21	18	21	0	0	0	250	10	1	1	1	18	45	11	19	10	25	6	65	0	9			 	 	 	 	 											0	0	1	3083278719800301	1	250	0	10	1	1	1	1	18	45	19	10	25	0	000	000	13	0	0	162.96339861874284	325.9267972374857	118963.28099168227
0	900003	1	1	2	2	3	0	0	0	2	5409	1991	3	5	11	35	0	21	18	21	1	29	7	1	3	1	2	4	7	8	8	9	6	2	0	2	1	0	1	2	0	1	2	0	0	2013	2	3	1	1	0	0	2003	1	2	2	7	7	6	9995	9	7	0	0	0	0	0	0	0	2	3	2	2	5	5	5	1	2	5	5	0	4	1	1	0	0	2	2	0	0	0	2	0	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	2022	8	31	4	5	0	1	0	0	0	0	4	0	0	5	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	100	560	0	1	30832787198004	4	1	1	10	9	8	3	12	1	0	5409	1	1991	11	35	21	18	21	0	5409	1	1991	11	35	21	18	21	0	0	0	40	5	9	4	6	20	15	13	21	0	45	8		0	9			 	 	 	 	 											0	0	1	3083278719800401	1	40	0	5	9	4	11	6	20	15	21	0	45	0	000	000	13	0	0	162.96339861874284	325.9267972374857	118963.28099168227
1	900004	1	1	4	3	3	0	1	1	2	2612	503	1	6	9	27	0	21	6	21	1	43	10	3	3	0	2	3	11	11	9	10	11	0	0	0	0	0	0	0	0	0	7	7	6	9995	9	7	3	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	0	0	2	2	5	1	4	5	5	5	5	4	7	1	0	0	2	1	2	2	0	0	0	0	2	13	13	7	14	14	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	2022	6	22	2	5	0	1	0	0	0	0	2	0	0	5	4	4	4	4	4	4	4	4	4	4	4	1	2	1	2	2	2	9	45	78	0	1	30842557598001	1	0	1	5	4	9	3	12	1	0	2612	1	503	9	27	21	6	21	0	2624	1	503	9	27	21	6	21	0	0	0	39	5	8	4	5	8	0	4	8	25	25	6	10	0	9			 	 	 	 	 											0	0	1	3084255759800101	1	39	0	5	8	4	11	5	8	0	8	25	25	0	000	000	13	0	0	73.16994915326251	292.67979661305003	106828.12576376327
0	900004	1	1	4	3	3	0	1	1	2	2612	503	1	6	9	27	0	21	6	21	1	43	10	3	3	0	2	3	11	11	9	10	11	0	0	0	0	0	0	0	0	0	7	7	6	9995	9	7	3	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	0	0	2	2	5	1	4	5	5	5	5	4	7	1	0	0	2	1	2	2	0	0	0	0	2	13	13	7	14	14	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	2022	6	22	2	5	0	1	0	0	0	0	2	0	0	5	4	4	4	4	4	4	4	4	4	4	4	1	2	1	2	2	2	9	45	78	0	1	30842557598002	2	0	1	1	4	9	3	12	4	0	2624	1	503	9	27	21	6	21	0	2612	1	503	9	27	21	6	21	0	0	0	39	5	8	4	5	8	35	4	8	55	20	5		0	9			 	 	 	 	 											0	0	1	3084255759800201	1	39	0	5	8	4	11	5	8	35	8	55	20	0	000	000	13	0	0	73.16994915326251	292.67979661305003	106828.12576376327
1	900005	1	1	4	3	3	0	0	1	3	4941	779	3	4	11	33	0	21	18	21	2	50	12	1	2	0	1	2	9	7	8	9	6	3	0	3	1	0	1	2	1	0	1	0	0	2011	2	1	2	7	7	6	9995	9	7	3	1	0	0	2019	4	3	0	0	0	0	0	0	1	2	0	3	4	2	4	4	1	1	5	5	4	4	1	1	0	0	2	2	0	0	0	2	0	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	2022	9	37	15	5	0	1	0	0	0	0	2	0	0	5	2	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	48	320	0	1	30945298198001	1	0	1	2	1	1	3	12	1	0	4941	1	779	11	33	21	18	21	0	4817	1	758	11	33	21	18	21	0	0	0	160	9	1	1	1	7	0	3	7	18	18	4	422	0	1			 	 	 	 	 											0	0	1	3094529819800101	1	160	0	9	1	1	1	1	7	0	7	18	18	0	000	000	13	0	0	73.9093481988291	295.6373927953164	107907.64837029048
0	900005	1	1	4	3	3	0	0	1	3	4941	779	3	4	11	33	0	21	18	21	2	50	12	1	2	0	1	2	9	7	8	9	6	3	0	3	1	0	1	2	1	0	1	0	0	2011	2	1	2	7	7	6	9995	9	7	3	1	0	0	2019	4	3	0	0	0	0	0	0	1	2	0	3	4	2	4	4	1	1	5	5	4	4	1	1	0	0	2	2	0	0	0	2	0	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	2022	9	37	15	5	0	1	0	0	0	0	2	0	0	5	2	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	48	320	0	1	30945298198002	2	0	1	1	1	1	3	12	3	0	4817	1	758	11	33	21	18	21	0	4941	1	779	11	33	21	18	21	0	0	0	160	9	1	1	1	14	20	8	14	50	30	7		0	9			 	 	 	 	 											0	0	1	3094529819800201	1	160	0	9	1	1	1	1	14	20	14	50	30	0	000	000	13	0	0	73.9093481988291	295.6373927953164	107907.64837029048
