thid,tpid,ttid,tidp,tidn,tyearid,tstagesn,thaboro,thiwt,tpiwt,thiwtwkd,tpiwtwkd,thiwtttwkd,tpiwtttwkd,tt1fhm,twalkatw,tcycatw,thmmode,tppw,tcmode,tsdaddr,toland,tshour,tehour,totimea,tunder5,thover5,tnhover5,tshop,twork,tbulknone,tbulkpc,tbulkscr,tbulkcom,tbulkshop,tbulkspo,tbulkwork,tbulkoth,tabtyoung,tabtoth,tabtnone,tpassn,tpktype,tbcychre,tcycshw,tociox,tocioxb,toaboro,tofarezn,toccz,tdciox,tdcioxb,tdaboro,tdfarezn,tdccz,todcioxba1,todcioxba2,tdur5,tlen,tspeed5,tleavemon,tleavetue,tleavewed,tleavethu,tleavefri,tleavesat,tleavesun,tjpurp,tdpurp,tdbmmode,topurp
900002,800003,190760310102,190760310101,190760310103,19,2,19,268.016258,270.2355085,0.0,0.0,0.0,0.0,-1,2,2,3,1,13,4,5,9,9,2,0,0,0,2,2,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,1,3,-1,-1,3,3,19,0,0,3,3,19,0,0,4,8,20,4.0,10,0,0,0,0,0,0,0,04 Shopping and personal business,04 Shopping and personal business,06 Car (+van/lorry) driver,04 Shopping and personal business
900002,800003,190760310104,190760310103,-1,19,1,19,268.016258,270.2355085,0.0,0.0,0.0,0.0,-1,2,2,3,1,13,1,1,15,15,3,0,0,0,2,2,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,1,7,-1,-1,4,5,52,0,0,3,3,19,0,0,7,9,45,20.0,35,0,0,0,0,0,0,0,05 Leisure,07 Home,06 Car (+van/lorry) driver,05 Leisure
900002,800004,190760310201,-1,190760310202,19,1,19,268.016258,292.4619873,0.0,0.0,0.0,0.0,1,2,2,3,1,13,4,-1,7,7,2,0,0,0,2,2,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,1,5,-1,-1,3,3,19,0,0,3,3,19,0,0,4,8,15,5.0,20,0,0,0,0,0,0,0,04 Shopping and personal business,04 Shopping and personal business,06 Car (+van/lorry) driver,07 Home
900002,800004,190760310202,190760310201,190760310203,19,2,19,268.016258,292.4619873,0.0,0.0,0.0,0.0,-1,2,2,3,1,13,4,5,9,9,2,0,0,0,2,2,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,1,3,-1,-1,3,3,19,0,0,3,3,19,0,0,4,8,20,4.0,10,0,0,0,0,0,0,0,04 Shopping and personal business,04 Shopping and personal business,06 Car (+van/lorry) driver,04 Shopping and personal business
900003,800007,192172010101,-1,192172010102,19,2,5,905.1347969,720.3284768,1183.17314,990.2109639,1566.51859,1281.678285,1,2,2,13,2,11,3,-1,4,5,1,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,5,0,0,1,1,2,0,0,3,2,60,7.0,5,0,0,0,0,0,0,0,01 Usual workplace,01 Usual workplace,03 Bus (+sch/ wk bus/coach & tram),07 Home
900003,800007,192172010102,192172010101,-1,19,2,5,905.1347969,720.3284768,1183.17314,990.2109639,1566.51859,1281.678285,-1,2,2,13,2,10,1,2,8,8,2,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,1,1,2,0,0,2,2,5,0,0,3,5,45,7.0,10,0,0,0,0,0,0,0,01 Usual workplace,07 Home,03 Bus (+sch/ wk bus/coach & tram),01 Usual workplace
900003,800008,192172010201,-1,192172010202,19,2,5,905.1347969,952.3870752,1183.17314,1193.385169,1566.51859,1598.15445,1,2,2,13,2,11,4,-1,4,5,1,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,5,0,0,1,1,14,0,0,3,2,45,9.0,10,0,0,0,0,0,0,0,02 Other work related,02 Other work related,03 Bus (+sch/ wk bus/coach & tram),07 Home
900003,800008,192172010202,192172010201,192172010203,19,2,5,905.1347969,952.3870752,1183.17314,1193.385169,1566.51859,1598.15445,-1,2,2,17,2,7,4,2,8,8,2,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,1,1,14,0,0,1,1,6,0,0,1,4,30,5.0,10,0,0,0,0,0,0,0,02 Other work related,02 Other work related,02 Underground/ DLR,02 Other work related
900003,800008,192172010204,192172010203,192172010205,19,2,5,905.1347969,952.3870752,1183.17314,1193.385169,1566.51859,1598.15445,-1,2,2,13,2,11,4,1,14,14,3,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,5,0,0,2,2,5,0,0,2,8,35,3.0,5,0,0,0,0,0,0,0,02 Other work related,02 Other work related,03 Bus (+sch/ wk bus/coach & tram),07 Home
900003,800008,192172010205,192172010204,192172010206,19,3,5,905.1347969,952.3870752,1183.17314,1193.385169,1566.51859,1598.15445,-1,2,2,17,2,8,4,4,16,17,4,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,5,0,0,1,1,14,0,0,3,2,60,10.0,10,0,0,0,0,0,0,0,02 Other work related,02 Other work related,02 Underground/ DLR,02 Other work related
900003,800008,192172010206,192172010205,-1,19,3,5,905.1347969,952.3870752,1183.17314,1193.385169,1566.51859,1598.15445,-1,2,2,17,2,8,1,1,22,22,6,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,1,1,14,0,0,2,2,5,0,0,3,5,45,10.0,10,0,0,0,0,0,0,0,02 Other work related,07 Home,02 Underground/ DLR,02 Other work related
900003,800009,192172010301,-1,192172010302,19,2,5,905.1347969,789.0636926,1183.17314,1037.767396,1566.51859,1512.132796,2,2,2,13,2,10,1,-1,8,9,2,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,1,1,2,0,0,2,2,5,0,0,3,5,40,7.0,10,0,0,0,0,0,0,0,01 Usual workplace,07 Home,03 Bus (+sch/ wk bus/coach & tram),01 Usual workplace
900003,800010,192172010401,-1,192172010402,19,3,5,905.1347969,720.3284768,1183.17314,990.2109639,1566.51859,1281.678285,1,2,2,17,2,8,3,-1,8,9,2,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,5,0,0,1,1,14,0,0,3,2,45,10.0,10,0,0,0,0,0,0,0,01 Usual workplace,01 Usual workplace,02 Underground/ DLR,07 Home
900003,800010,192172010402,192172010401,-1,19,3,5,905.1347969,720.3284768,1183.17314,990.2109639,1566.51859,1281.678285,-1,2,2,17,2,8,1,1,17,17,4,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,1,1,14,0,0,2,2,5,0,0,3,5,45,10.0,10,0,0,0,0,0,0,0,01 Usual workplace,07 Home,02 Underground/ DLR,01 Usual workplace
900003,800011,192172010501,-1,192172010502,19,2,5,905.1347969,794.7315215,1183.17314,1078.712425,1566.51859,1599.536895,1,2,2,13,2,10,3,-1,8,8,2,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,5,0,0,1,1,2,0,0,3,2,40,7.0,10,0,0,0,0,0,0,0,01 Usual workplace,01 Usual workplace,03 Bus (+sch/ wk bus/coach & tram),07 Home
900003,800011,192172010502,192172010501,-1,19,2,5,905.1347969,794.7315215,1183.17314,1078.712425,1566.51859,1599.536895,-1,2,2,13,2,10,1,6,18,18,4,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,1,1,2,0,0,2,2,5,0,0,3,5,45,7.0,5,0,0,0,0,0,0,0,01 Usual workplace,07 Home,03 Bus (+sch/ wk bus/coach & tram),01 Usual workplace
900004,800012,193623010101,-1,193623010102,19,2,29,790.7865673,736.5237686,1122.150177,954.0582672,0.0,0.0,1,2,2,17,2,6,4,-1,21,22,5,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,29,0,0,2,2,1,0,0,6,3,60,10.0,15,0,0,0,0,0,0,0,05 Leisure,05 Leisure,02 Underground/ DLR,07 Home
900004,800012,193623010102,193623010101,-1,19,2,29,790.7865673,736.5237686,1122.150177,954.0582672,0.0,0.0,-1,2,2,17,2,6,1,6,1,2,6,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,1,0,0,3,3,29,0,0,6,7,60,10.0,15,0,0,0,0,0,0,0,05 Leisure,07 Home,02 Underground/ DLR,05 Leisure
900004,800013,193623010201,-1,193623010202,19,2,29,790.7865673,844.5358339,1122.150177,1303.092105,0.0,0.0,1,2,2,17,2,6,4,-1,21,22,5,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,29,0,0,2,2,1,0,0,6,3,60,10.0,15,0,0,0,0,0,0,0,05 Leisure,05 Leisure,02 Underground/ DLR,07 Home
900004,800013,193623010202,193623010201,-1,19,2,29,790.7865673,844.5358339,1122.150177,1303.092105,0.0,0.0,-1,2,2,17,2,6,1,6,1,2,6,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,1,0,0,3,3,29,0,0,6,7,60,10.0,15,0,0,0,0,0,0,0,05 Leisure,07 Home,02 Underground/ DLR,05 Leisure
