OP	OPID	Mode	HHPers_DANS24	HHSam_DANS24	HHLft1_DANS24	HHLft2_DANS24	HHLft3_DANS24	HHLft4_DANS24	Wogem_DANS24	Sted	GemGr	Prov	Corop	Geslacht	KLeeft	BetWerk	OnbBez_DANS24	MaatsPart_DANS24	Opleiding_DANS24	HHGestInkG	HHRijbewijsAu	HHRijbewijsMo	HHRijbewijsBr	OPRijbewijsAu	OPRijbewijsMo	OPRijbewijsBr	HHAuto_DANS24	HHAutoL_DANS24	OPAuto_DANS24	BrandstofPa1_DANS24	KBouwjaarPa1_DANS24	KGewichtPa1_DANS24	BrandstofPa2_DANS24	KBouwjaarPa2_DANS24	KGewichtPa2_DANS24	BrandstofPaL_DANS24	KBouwjaarPaL_DANS24	KGewichtPaL_DANS24	HHMotor_DANS24	HHBrSn_DANS24	HHEFiets_DANS24	HHBezitVm_DANS24	OPBezitVm_DANS24	FqLopen	FqNEFiets	FqEFiets	FqBTM	FqTrein	FqAutoB	FqAutoP	FqMotor	FqBrSnor	OVStKaart	WrkVervw	WrkVerg	VergVast	VergKm	VergBrSt	VergOV	VergAans	VergVoer	VergBudg	VergFisc	VergPark	VergStal	VergAnd	BrbWrk	RdWrkA	RdWrkB	BrbOnd	RdOndA	RdOndB	BrbSup	RdSupA	RdSupB	BrbZiek	RdZiekA	RdZiekB	BrbArts	RdArtsA	RdArtsB	BrbStat	RdStatA	RdStatB	BrbHalte	RdHalteA	RdHalteB	BrbFam	RdFamA	RdFamB	BrbSport	RdSportA	RdSportB	Jaar	Maand	Week	Dag	Weekdag	Feestdag	Weggeweest	RedenNW	RedenNWZ	RedenNWW	RedenNWB	AantVpl_DANS24	AantOVVpl_DANS24	AantSVpl_DANS24	EFiets	AutoEig	AutoHhL	AutoLWg	AutoLPl	AutoBed	AutoDOrg	AutoDPart	AutoDBek	AutoLeen	AutoHuur	AutoAnd	ByzDag	ByzAdr	ByzVvm	ByzTyd	ByzDuur	ByzRoute	ByzReden	ReisduurOP	AfstandOP	AfstandSOP	Verpl	VerplID	VerplNr	Toer	AantRit	Doel	MotiefV	KMotiefV	MeerWink	AardWerk	VertLoc	VertGeb	VertPC_PRAM	VertGem_DANS24	VertProv	VertCorop	AankGeb	AankPC_PRAM	AankGem_DANS24	AankProv	AankCorop	GemG_DANS24	AfstV	KAfstV	Hvm	HvmRol	KHvm	VertUur	VertMin	KVertTijd	AankUur	AankMin	Reisduur	KReisduur	ActDuur	Kind6	VolgWerk	SAantAdr	SDezPlts	AfstS	AfstSBL	SVvm1	SVvm2	SVvm3	SVvm4	SBegUur	SBegMin	SEindUur	SEindMin	CorrVerpl	GehBLVer	Rit	RitID	RitNr	AfstR	AfstRBL	KAfstR	Rvm	RvmRol	RAantIn	KRvm	RVertUur	RVertMin	RAankUur	RAankMin	RReisduur	RReisduurBL	RTSamen	RCorrSnelh	RVliegVer	FactorH	FactorP	FactorV
0	900003	1	1	1	0	0	0	1	503	1	6	9	27	2	6	3	2	2	3	10	1	0	1	1	0	1	0	0	0	6	9	4	6	5	4	6	3	4	0	1	1	3	2	2	3	5	3	3	3	3	5	1	0	3	1	0	1	0	2	0	0	0	0	2	0	0	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	2024	5	21	21	3	0	1	0	0	0	0	4	0	0	5	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	11	51	100	0	1	35665888595802	2	0	1	1	12	3	3	12	4	0	2612	503	9	27	0	2614	503	9	27	0	25	4	18	4	7	11	45	5	12	0	15	4	185	0	9	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	3566588859580201	1	25	0	4	18	4	11	7	11	45	12	0	15	0	13	0	0	295	295	108122
0	900003	1	1	1	0	0	0	1	503	1	6	9	27	2	6	3	2	2	3	10	1	0	1	1	0	1	0	0	0	6	9	4	6	5	4	6	3	4	0	1	1	3	2	2	3	5	3	3	3	3	5	1	0	3	1	0	1	0	2	0	0	0	0	2	0	0	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	2024	5	21	21	3	0	1	0	0	0	0	4	0	0	5	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	11	51	100	0	1	35665888595803	3	0	1	2	1	1	3	12	1	0	2614	503	9	27	0	2625	503	9	27	0	25	4	18	4	7	15	5	8	15	15	10	3	524	0	1	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	3566588859580301	1	25	0	4	18	4	11	7	15	5	15	15	10	0	13	0	0	295	295	108122
0	900003	1	1	1	0	0	0	1	503	1	6	9	27	2	6	3	2	2	3	10	1	0	1	1	0	1	0	0	0	6	9	4	6	5	4	6	3	4	0	1	1	3	2	2	3	5	3	3	3	3	5	1	0	3	1	0	1	0	2	0	0	0	0	2	0	0	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	2024	5	21	21	3	0	1	0	0	0	0	4	0	0	5	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	11	51	100	0	1	35665888595804	4	0	1	1	1	1	3	12	3	0	2625	503	9	27	0	2614	503	9	27	0	25	4	18	4	7	23	59	13	24	10	11	3	#NULL!	0	9	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	3566588859580401	1	25	0	4	18	4	11	7	23	59	24	10	11	0	13	0	0	295	295	108122
1	900004	1	4	3	0	1	1	2	307	2	7	7	17	1	2	5	6	3	5	9	2	0	2	0	0	0	1	0	0	1	5	3	6	5	4	6	3	4	0	0	1	2	0	1	2	5	4	4	6	2	5	5	4	13	3	2	2	2	2	2	2	2	2	2	2	2	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	2024	11	46	15	6	0	1	0	0	0	0	6	0	0	5	2	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	60	96	0	1	35696516985801	1	0	1	7	6	5	3	12	1	0	3829	307	7	17	0	3826	307	7	17	0	5	2	9	4	6	7	50	3	7	55	5	2	355	0	9	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	3569651698580101	1	5	0	2	9	4	11	6	7	50	7	55	5	0	13	0	0	31	122	44834
0	900004	1	4	3	0	1	1	2	307	2	7	7	17	1	2	5	6	3	5	9	2	0	2	0	0	0	1	0	0	1	5	3	6	5	4	6	3	4	0	0	1	2	0	1	2	5	4	4	6	2	5	5	4	13	3	2	2	2	2	2	2	2	2	2	2	2	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	2024	11	46	15	6	0	1	0	0	0	0	6	0	0	5	2	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	60	96	0	1	35696516985802	2	0	1	1	6	5	3	12	4	0	3826	307	7	17	0	3826	307	7	17	0	5	2	9	4	6	13	50	7	13	55	5	2	110	0	9	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	3569651698580201	1	5	0	2	9	4	11	6	13	50	13	55	5	0	13	0	0	31	122	44834
0	900004	1	4	3	0	1	1	2	307	2	7	7	17	1	2	5	6	3	5	9	2	0	2	0	0	0	1	0	0	1	5	3	6	5	4	6	3	4	0	0	1	2	0	1	2	5	4	4	6	2	5	5	4	13	3	2	2	2	2	2	2	2	2	2	2	2	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	2024	11	46	15	6	0	1	0	0	0	0	6	0	0	5	2	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	60	96	0	1	35696516985803	3	0	1	11	10	7	3	12	1	0	3826	307	7	17	0	3829	307	7	17	0	28	4	8	4	5	15	45	8	16	0	15	4	95	0	9	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	3569651698580301	1	28	0	4	8	4	11	5	15	45	16	0	15	0	13	0	0	31	122	44834
0	900004	1	4	3	0	1	1	2	307	2	7	7	17	1	2	5	6	3	5	9	2	0	2	0	0	0	1	0	0	1	5	3	6	5	4	6	3	4	0	0	1	2	0	1	2	5	4	4	6	2	5	5	4	13	3	2	2	2	2	2	2	2	2	2	2	2	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	2024	11	46	15	6	0	1	0	0	0	0	6	0	0	5	2	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	60	96	0	1	35696516985804	4	0	1	1	10	7	3	12	4	0	3829	307	7	17	0	3826	307	7	17	0	28	4	8	4	5	17	35	10	17	50	15	4	70	0	9	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	3569651698580401	1	28	0	4	8	4	11	5	17	35	17	50	15	0	13	0	0	31	122	44834
0	900004	1	4	3	0	1	1	2	307	2	7	7	17	1	2	5	6	3	5	9	2	0	2	0	0	0	1	0	0	1	5	3	6	5	4	6	3	4	0	0	1	2	0	1	2	5	4	4	6	2	5	5	4	13	3	2	2	2	2	2	2	2	2	2	2	2	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	2024	11	46	15	6	0	1	0	0	0	0	6	0	0	5	2	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	60	96	0	1	35696516985805	5	0	1	11	10	7	3	12	1	0	3826	307	7	17	0	3825	307	7	17	0	15	3	1	2	2	19	0	12	19	10	10	3	70	0	9	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	3569651698580501	1	15	0	3	1	2	3	2	19	0	19	10	10	0	13	0	0	31	122	44834
0	900004	1	4	3	0	1	1	2	307	2	7	7	17	1	2	5	6	3	5	9	2	0	2	0	0	0	1	0	0	1	5	3	6	5	4	6	3	4	0	0	1	2	0	1	2	5	4	4	6	2	5	5	4	13	3	2	2	2	2	2	2	2	2	2	2	2	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	6	14	14	2024	11	46	15	6	0	1	0	0	0	0	6	0	0	5	2	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	60	96	0	1	35696516985806	6	0	1	1	10	7	3	12	4	0	3825	307	7	17	0	3826	307	7	17	0	15	3	1	2	2	20	20	13	20	30	10	3	#NULL!	0	9	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	3569651698580601	1	15	0	3	1	2	3	2	20	20	20	30	10	0	13	0	0	31	122	44834
1	900005	1	1	1	0	0	0	1	532	3	4	8	18	1	13	3	5	2	2	7	1	0	1	1	0	1	1	0	1	4	5	2	6	5	4	6	3	4	0	0	1	2	1	2	5	5	5	4	1	3	5	5	4	4	1	1	0	0	2	2	0	0	0	0	2	0	3	3	7	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	2	3	7	2024	11	45	6	4	0	1	0	0	0	0	2	0	0	5	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	65	600	0	1	35902788885801	1	0	1	2	1	1	3	12	1	0	1611	532	8	18	0	1775	1911	8	18	0	300	11	1	1	1	7	0	3	7	35	35	7	535	0	1	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	3590278888580101	1	300	0	11	1	1	1	1	7	0	7	35	35	0	13	0	0	257	257	94198
0	900005	1	1	1	0	0	0	1	532	3	4	8	18	1	13	3	5	2	2	7	1	0	1	1	0	1	1	0	1	4	5	2	6	5	4	6	3	4	0	0	1	2	1	2	5	5	5	4	1	3	5	5	4	4	1	1	0	0	2	2	0	0	0	0	2	0	3	3	7	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	2	3	7	2024	11	45	6	4	0	1	0	0	0	0	2	0	0	5	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	65	600	0	1	35902788885802	2	0	1	1	1	1	3	12	3	0	1775	1911	8	18	0	1611	532	8	18	0	300	11	1	1	1	16	30	9	17	0	30	7	#NULL!	0	9	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	3590278888580201	1	300	0	11	1	1	1	1	16	30	17	0	30	0	13	0	0	257	257	94198
