OP	OPID	Steekproef	Mode	HHPers	HHSam	HHPlOP	HHLft1	HHLft2	HHLft3	HHLft4	WoPC	WoGem	Sted	GemGr	Prov	Corop	BuurtAdam	MRA	Geslacht	Leeftijd	KLeeft	Herkomst	BetWerk	OnbBez	MaatsPart	Opleiding	HHBestInkG	HHGestInkG	HHLaagInk	HHSocInk	HHWelvG	HHRijbewijsAu	HHRijbewijsMo	HHRijbewijsBr	OPRijbewijsAu	OPRijbewijsMo	OPRijbewijsBr	HHAuto	HHAutoL	OPAuto	BrandstofPa1	XBrandstofPa1	BrandstofEPa1	BouwjaarPa1	KBouwjaarPa1	KGewichtPa1	TenaamPa1	BrandstofPa2	XBrandstofPa2	BrandstofEPa2	BouwjaarPa2	KBouwjaarPa2	KGewichtPa2	TenaamPa2	BrandstofPaL	XBrandstofPaL	BrandstofEPaL	BouwjaarPaL	KBouwjaarPaL	KGewichtPaL	HHMotor	OPMotor	HHBrom	OPBrom	HHSnor	OPSnor	HHEFiets	HHBezitVm	OPBezitVm	FqNEFiets	FqEFiets	FqBTM	FqTrein	FqAutoB	FqAutoP	FqBrSnor	OVStKaart	Jaar	Maand	Week	Dag	Weekdag	Feestdag	Weggeweest	RedenNW	RedenNWZ	RedenNWW	RedenNWB	AantVpl	AantOVVpl	AantSVpl	EFiets	AutoEig	AutoHhL	AutoLWg	AutoLPl	AutoBed	AutoDOrg	AutoDPart	AutoDBek	AutoLeen	AutoHuur	AutoAnd	ByzDag	ByzAdr	ByzVvm	ByzTyd	ByzDuur	ByzRoute	ByzReden	ReisduurOP	AfstandOP	AfstandSOP	Verpl	VerplID	VerplNr	Toer	AantRit	Doel	MotiefV	KMotiefV	MeerWink	AardWerk	VertLoc	VertGeb	VertPC	VertPCBL	VertGem	VertProv	VertCorop	VertMRA	AankGeb	AankPC	AankPCBL	AankGem	AankProv	AankCorop	AankMRA	PCG	GemG	PCBLG	AfstV	KAfstV	Hvm	HvmRol	KHvm	VertUur	VertMin	KVertTijd	AankUur	AankMin	Reisduur	KReisduur	ActDuur	Kind6	VolgWerk	SAantAdr	SDezPlts	SPlaats1	SPlaats2	SPlaats3	SPlaats4	SPlaats5	AfstS	AfstSBL	SVvm1	SVvm2	SVvm3	SVvm4	SBegUur	SBegMin	SEindUur	SEindMin	CorrVerpl	GehBLVer	Rit	RitID	RitNr	AfstR	AfstRBL	KAfstR	Rvm	RvmRol	RAantIn	KRvm	RVertUur	RVertMin	RAankUur	RAankMin	RReisduur	RReisduurBL	RVertStat	RAankStat	RTSamen	RCorrSnelh	RVliegVer	FactorH	FactorP	FactorV
0	900002	1	1	5	3	4	0	3	0	2	3572	344	1	8	7	17	0	18	1	11	2	2	5	9	4	7	10	10	8	9	10	2	0	2	0	0	0	1	0	0	1	0	0	2005	1	4	2	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	3	0	1	5	3	4	6	3	5	4	2018	3	9	4	1	0	1	0	0	0	0	2	0	0	5	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	11	25	20	0	1	5586841002502	2	0	1	1	5	9	3	12	4	0	3511	1	344	7	17	18	0	3572	1	344	7	17	18	0	0	0	10	3	8	4	5	16	15	9	16	30	15	4		0	9			 	 	 	 	 											0	0	1	558684100250201	1	10	0	3	8	4	11	5	16	15	16	30	15	0	000	000	13	0	0	54.76541297459138	273.8270648729569	99946.87867862926
1	900003	1	1	3	3	3	0	0	0	3	2741	627	2	4	9	28	0	18	2	52	12	1	2	0	1	4	10	10	8	9	9	2	0	2	1	0	1	2	1	1	1	0	0	2014	4	2	1	7	7	6	9995	9	7	3	1	0	0	2013	4	6	0	0	0	0	0	0	0	2	3	2	5	5	4	1	4	5	4	2018	5	21	25	6	0	1	0	0	0	0	6	0	0	5	1	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	4	85	220	0	1	5595831839501	1	0	1	8	7	4	1	12	1	0	2741	1	627	9	28	18	0	2741	1	627	9	28	18	0	0	0	30	4	1	1	1	10	45	5	11	0	15	4	25	1	9			 	 	 	 	 											0	0	1	559583183950101	1	30	0	4	1	1	2	1	10	45	11	0	15	0	000	000	13	0	0	106.75080699419242	320.25242098257723	116892.1336586407
0	900003	1	1	3	3	3	0	0	0	3	2741	627	2	4	9	28	0	18	2	52	12	1	2	0	1	4	10	10	8	9	9	2	0	2	1	0	1	2	1	1	1	0	0	2014	4	2	1	7	7	6	9995	9	7	3	1	0	0	2013	4	6	0	0	0	0	0	0	0	2	3	2	5	5	4	1	4	5	4	2018	5	21	25	6	0	1	0	0	0	0	6	0	0	5	1	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	4	85	220	0	1	5595831839502	2	0	1	1	7	4	3	12	4	0	2741	1	627	9	28	18	0	2741	1	627	9	28	18	0	0	0	30	4	1	1	1	11	25	5	11	40	15	4	5	1	9			 	 	 	 	 											0	0	1	559583183950201	1	30	0	4	1	1	2	1	11	25	11	40	15	0	000	000	13	0	0	106.75080699419242	320.25242098257723	116892.1336586407
0	900003	1	1	3	3	3	0	0	0	3	2741	627	2	4	9	28	0	18	2	52	12	1	2	0	1	4	10	10	8	9	9	2	0	2	1	0	1	2	1	1	1	0	0	2014	4	2	1	7	7	6	9995	9	7	3	1	0	0	2013	4	6	0	0	0	0	0	0	0	2	3	2	5	5	4	1	4	5	4	2018	5	21	25	6	0	1	0	0	0	0	6	0	0	5	1	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	4	85	220	0	1	5595831839503	3	0	1	5	4	9	3	12	1	0	2741	1	627	9	28	18	0	2743	1	627	9	28	18	0	0	0	30	4	1	1	1	11	45	5	11	55	10	3	10	1	9			 	 	 	 	 											0	0	1	559583183950301	1	30	0	4	1	1	2	1	11	45	11	55	10	0	000	000	13	0	0	106.75080699419242	320.25242098257723	116892.1336586407
0	900003	1	1	3	3	3	0	0	0	3	2741	627	2	4	9	28	0	18	2	52	12	1	2	0	1	4	10	10	8	9	9	2	0	2	1	0	1	2	1	1	1	0	0	2014	4	2	1	7	7	6	9995	9	7	3	1	0	0	2013	4	6	0	0	0	0	0	0	0	2	3	2	5	5	4	1	4	5	4	2018	5	21	25	6	0	1	0	0	0	0	6	0	0	5	1	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	4	85	220	0	1	5595831839504	4	0	1	1	4	9	3	12	4	0	2743	1	627	9	28	18	0	2741	1	627	9	28	18	0	0	0	30	4	1	1	1	12	5	6	12	20	15	4	200	1	9			 	 	 	 	 											0	0	1	559583183950401	1	30	0	4	1	1	3	1	12	5	12	20	15	0	000	000	13	0	0	106.75080699419242	320.25242098257723	116892.1336586407
0	900003	1	1	3	3	3	0	0	0	3	2741	627	2	4	9	28	0	18	2	52	12	1	2	0	1	4	10	10	8	9	9	2	0	2	1	0	1	2	1	1	1	0	0	2014	4	2	1	7	7	6	9995	9	7	3	1	0	0	2013	4	6	0	0	0	0	0	0	0	2	3	2	5	5	4	1	4	5	4	2018	5	21	25	6	0	1	0	0	0	0	6	0	0	5	1	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	4	85	220	0	1	5595831839505	5	0	1	6	5	9	3	12	1	0	2741	1	627	9	28	18	0	2741	1	627	9	28	18	0	0	0	50	6	1	1	1	15	40	8	15	55	15	4	10	1	9			 	 	 	 	 											0	0	1	559583183950501	1	50	0	6	1	1	3	1	15	40	15	55	15	0	000	000	13	0	0	106.75080699419242	320.25242098257723	116892.1336586407
0	900003	1	1	3	3	3	0	0	0	3	2741	627	2	4	9	28	0	18	2	52	12	1	2	0	1	4	10	10	8	9	9	2	0	2	1	0	1	2	1	1	1	0	0	2014	4	2	1	7	7	6	9995	9	7	3	1	0	0	2013	4	6	0	0	0	0	0	0	0	2	3	2	5	5	4	1	4	5	4	2018	5	21	25	6	0	1	0	0	0	0	6	0	0	5	1	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	4	85	220	0	1	5595831839506	6	0	1	1	5	9	3	12	4	0	2741	1	627	9	28	18	0	2741	1	627	9	28	18	0	0	0	50	6	1	1	1	16	5	9	16	20	15	4		1	9			 	 	 	 	 											0	0	1	559583183950601	1	50	0	6	1	1	3	1	16	5	16	20	15	0	000	000	13	0	0	106.75080699419242	320.25242098257723	116892.1336586407
1	900004	1	1	5	3	4	0	2	1	2	9137	58	4	4	2	4	0	18	1	10	2	2	5	9	4	7	9	7	8	9	6	2	0	2	0	0	0	2	0	0	3	1	0	2000	1	5	2	1	0	0	2000	1	3	2	7	7	6	9995	9	7	0	0	0	0	0	0	0	2	0	2	5	5	5	6	1	5	4	2018	7	29	17	3	0	1	0	0	0	0	5	0	0	5	2	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	125	410	0	1	5602011422901	1	0	1	7	6	5	3	12	1	0	9137	1	58	2	4	18	0	9101	1	58	2	4	18	0	0	0	100	8	14	4	7	7	30	3	8	0	30	7	390	0	9			 	 	 	 	 											0	0	1	560201142290101	1	100	0	8	14	4	11	7	7	30	8	0	30	0	000	000	13	0	0	69.39592701508946	346.9796350754473	126647.56680253826
0	900004	1	1	5	3	4	0	2	1	2	9137	58	4	4	2	4	0	18	1	10	2	2	5	9	4	7	9	7	8	9	6	2	0	2	0	0	0	2	0	0	3	1	0	2000	1	5	2	1	0	0	2000	1	3	2	7	7	6	9995	9	7	0	0	0	0	0	0	0	2	0	2	5	5	5	6	1	5	4	2018	7	29	17	3	0	1	0	0	0	0	5	0	0	5	2	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	125	410	0	1	5602011422902	2	0	1	1	6	5	3	12	4	0	9101	1	58	2	4	18	0	9137	1	58	2	4	18	0	0	0	150	9	14	4	7	14	30	8	15	30	60	9	75	0	9			 	 	 	 	 											0	0	1	560201142290201	1	150	0	9	14	4	11	7	14	30	15	30	60	0	000	000	13	0	0	69.39592701508946	346.9796350754473	126647.56680253826
0	900004	1	1	5	3	4	0	2	1	2	9137	58	4	4	2	4	0	18	1	10	2	2	5	9	4	7	9	7	8	9	6	2	0	2	0	0	0	2	0	0	3	1	0	2000	1	5	2	1	0	0	2000	1	3	2	7	7	6	9995	9	7	0	0	0	0	0	0	0	2	0	2	5	5	5	6	1	5	4	2018	7	29	17	3	0	1	0	0	0	0	5	0	0	5	2	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	125	410	0	1	5602011422903	3	0	1	7	6	5	3	12	1	0	9137	1	58	2	4	18	0	9103	1	58	2	4	18	0	0	0	70	6	1	2	2	16	45	9	17	0	15	4	40	0	9			 	 	 	 	 											0	0	1	560201142290301	1	70	0	6	1	2	2	2	16	45	17	0	15	0	000	000	13	0	0	69.39592701508946	346.9796350754473	126647.56680253826
0	900004	1	1	5	3	4	0	2	1	2	9137	58	4	4	2	4	0	18	1	10	2	2	5	9	4	7	9	7	8	9	6	2	0	2	0	0	0	2	0	0	3	1	0	2000	1	5	2	1	0	0	2000	1	3	2	7	7	6	9995	9	7	0	0	0	0	0	0	0	2	0	2	5	5	5	6	1	5	4	2018	7	29	17	3	0	1	0	0	0	0	5	0	0	5	2	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	125	410	0	1	5602011422904	4	0	1	8	7	4	0	12	4	0	9103	1	58	2	4	18	0	9101	1	58	2	4	18	0	0	0	20	3	1	2	2	17	40	10	17	45	5	2	15	0	9			 	 	 	 	 											0	0	1	560201142290401	1	20	0	3	1	2	2	2	17	40	17	45	5	0	000	000	13	0	0	69.39592701508946	346.9796350754473	126647.56680253826
0	900004	1	1	5	3	4	0	2	1	2	9137	58	4	4	2	4	0	18	1	10	2	2	5	9	4	7	9	7	8	9	6	2	0	2	0	0	0	2	0	0	3	1	0	2000	1	5	2	1	0	0	2000	1	3	2	7	7	6	9995	9	7	0	0	0	0	0	0	0	2	0	2	5	5	5	6	1	5	4	2018	7	29	17	3	0	1	0	0	0	0	5	0	0	5	2	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	125	410	0	1	5602011422905	5	0	1	1	7	4	3	12	4	0	9101	1	58	2	4	18	0	9137	1	58	2	4	18	0	0	0	70	6	1	2	2	18	0	11	18	15	15	4		0	9			 	 	 	 	 											0	0	1	560201142290501	1	70	0	6	1	2	2	2	18	0	18	15	15	0	000	000	13	0	0	69.39592701508946	346.9796350754473	126647.56680253826
1	900005	1	1	1	1	1	0	0	0	1	5809	984	4	4	12	37	0	18	2	79	17	1	0	2	7	1	3	4	8	9	7	1	0	1	1	0	1	1	0	1	1	0	0	2006	1	2	1	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	1	3	3	5	1	5	4	2	5	5	4	2018	11	45	7	4	0	1	0	0	0	0	4	0	0	1	4	4	4	4	4	4	4	4	4	4	4	2	3	3	3	3	3	11	265	540	0	1	5614768964501	1	1	1	10	9	8	3	12	1	0	5809	1	984	12	37	18	0	5809	1	984	12	37	18	0	0	0	30	4	9	4	6	7	0	3	7	45	45	8	120	0	9			 	 	 	 	 											0	0	1	561476896450101	1	30	0	4	9	4	11	6	7	0	7	45	45	0	000	000	13	0	0	414.1855768945937	414.1855768945937	151177.73556652668
0	900005	1	1	1	1	1	0	0	0	1	5809	984	4	4	12	37	0	18	2	79	17	1	0	2	7	1	3	4	8	9	7	1	0	1	1	0	1	1	0	1	1	0	0	2006	1	2	1	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	1	3	3	5	1	5	4	2	5	5	4	2018	11	45	7	4	0	1	0	0	0	0	4	0	0	1	4	4	4	4	4	4	4	4	4	4	4	2	3	3	3	3	3	11	265	540	0	1	5614768964502	2	0	1	2	1	1	3	12	4	0	5809	1	984	12	37	18	0	0000	1	9999	99	99	99	0	0	0	5	2	7	4	5	9	45	5	9	50	5	2	70	0	1			 	 	 	 	 											0	0	1	561476896450201	1	5	0	2	7	4	11	5	9	45	9	50	5	0	000	000	13	0	0	414.1855768945937	414.1855768945937	151177.73556652668
0	900005	1	1	1	1	1	0	0	0	1	5809	984	4	4	12	37	0	18	2	79	17	1	0	2	7	1	3	4	8	9	7	1	0	1	1	0	1	1	0	1	1	0	0	2006	1	2	1	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	1	3	3	5	1	5	4	2	5	5	4	2018	11	45	7	4	0	1	0	0	0	0	4	0	0	1	4	4	4	4	4	4	4	4	4	4	4	2	3	3	3	3	3	11	265	540	0	1	5614768964503	3	0	1	1	1	1	3	12	3	0	0000	1	9999	99	99	99	0	5809	1	984	12	37	18	0	0	0	5	2	7	4	5	11	0	5	11	5	5	2	115	0	9			 	 	 	 	 											0	0	1	561476896450301	1	5	0	2	7	4	11	5	11	0	11	5	5	0	000	000	13	0	0	414.1855768945937	414.1855768945937	151177.73556652668
0	900005	1	1	1	1	1	0	0	0	1	5809	984	4	4	12	37	0	18	2	79	17	1	0	2	7	1	3	4	8	9	7	1	0	1	1	0	1	1	0	1	1	0	0	2006	1	2	1	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	1	3	3	5	1	5	4	2	5	5	4	2018	11	45	7	4	0	1	0	0	0	0	4	0	0	1	4	4	4	4	4	4	4	4	4	4	4	2	3	3	3	3	3	11	265	540	0	1	5614768964504	4	1	1	10	9	8	3	12	1	0	5809	1	984	12	37	18	0	5809	1	984	12	37	18	0	0	0	500	13	7	4	5	13	0	7	16	30	210	11		0	9			 	 	 	 	 											0	0	1	561476896450401	1	500	0	13	7	4	11	5	13	0	16	30	210	0	000	000	13	0	0	414.1855768945937	414.1855768945937	151177.73556652668
