gemeentenaam,gemeentecode,mate_van_stedelijkheid,omgevingsadressendichtheid
Den Helder,GM0400,2,1688
Hilversum,GM0402,1,2719
Hoorn,GM0405,2,1661
Huizen,GM0406,2,2018
Landsmeer,GM0415,3,1019
Langedijk,GM0416,4,934
Laren,GM0417,3,1096
Medemblik,GM0420,4,520
Oostzaan,GM0431,3,1062
Opmeer,GM0432,4,511
Ouder-Amstel,GM0437,3,1281
Purmerend,GM0439,2,2211
Schagen,GM0441,4,737
Texel,GM0448,5,468
Uitgeest,GM0450,3,1094
Uithoorn,GM0451,3,1432
Velsen,GM0453,2,1829
Weesp,GM0457,2,1760
Zandvoort,GM0473,2,1805
Zaanstad,GM0479,2,2032
Alblasserdam,GM0482,2,1512
Alphen aan den Rijn,GM0484,2,1819
Barendrecht,GM0489,2,1666
Drechterland,GM0498,5,498
Brielle,GM0501,4,873
Capelle aan den IJssel,GM0502,2,2273
Delft,GM0503,1,3496
Dordrecht,GM0505,1,2516
Gorinchem,GM0512,2,1718
Gouda,GM0513,1,2530
's-Gravenhage,GM0518,1,4892
Hardinxveld-Giessendam,GM0523,4,980
Hellevoetsluis,GM0530,2,1530
Hendrik-Ido-Ambacht,GM0531,2,1796
Stede Broec,GM0532,3,1138
Hillegom,GM0534,2,1551
Katwijk,GM0537,2,2154
Krimpen aan den IJssel,GM0542,2,1954
Leiden,GM0546,1,3725
Leiderdorp,GM0547,2,2449
Lisse,GM0553,2,1620
Maassluis,GM0556,2,1981
Nieuwkoop,GM0569,4,501
Noordwijk,GM0575,3,1385
Oegstgeest,GM0579,2,1745
Oudewater,GM0589,4,856
Papendrecht,GM0590,2,1919
Ridderkerk,GM0597,2,1731
Rotterdam,GM0599,1,3945
Rijswijk,GM0603,1,3151
Schiedam,GM0606,1,3276
Sliedrecht,GM0610,2,1651
Albrandswaard,GM0613,3,1022
Westvoorne,GM0614,4,611
Vlaardingen,GM0622,1,2775
Voorschoten,GM0626,2,1853
Waddinxveen,GM0627,2,1550
Wassenaar,GM0629,3,1443
Woerden,GM0632,3,1365
Zoetermeer,GM0637,1,2517
Zoeterwoude,GM0638,4,746
Zwijndrecht,GM0642,2,2060
Borsele,GM0654,5,320
Goes,GM0664,3,1316
West Maas en Waal,GM0668,5,414
Hulst,GM0677,4,501
Kapelle,GM0678,4,642
Middelburg,GM0687,2,1740
Reimerswaal,GM0703,4,512
Terneuzen,GM0715,4,871
Tholen,GM0716,5,476
Veere,GM0717,5,343
Vlissingen,GM0718,2,1942
De Ronde Venen,GM0736,4,869
Tytsjerksteradiel,GM0737,5,472
Asten,GM0743,4,953
Baarle-Nassau,GM0744,5,336
Bergen op Zoom,GM0748,2,1815
Best,GM0753,3,1395
Boekel,GM0755,4,525
Boxmeer,GM0756,4,658
Boxtel,GM0757,3,1211
Breda,GM0758,2,2170
Deurne,GM0762,4,879
Pekela,GM0765,4,531
Dongen,GM0766,3,1194
Eersel,GM0770,4,566
Eindhoven,GM0772,1,2654
Etten-Leur,GM0777,2,1668
Geertruidenberg,GM0779,3,1091
Gilze en Rijen,GM0784,3,1071
Goirle,GM0785,3,1171
Grave,GM0786,4,638
Haaren,GM0788,5,374
Helmond,GM0794,2,1748
's-Hertogenbosch,GM0796,2,1966
Heusden,GM0797,3,1077
Hilvarenbeek,GM0798,4,575
Loon op Zand,GM0809,3,1058
Mill en Sint Hubert,GM0815,5,316
"Nuenen, Gerwen en Nederwetten",GM0820,3,1113
Oirschot,GM0823,4,612
Oisterwijk,GM0824,4,998
Oosterhout,GM0826,2,1545
Oss,GM0828,3,1383
Rucphen,GM0840,4,663
Sint-Michielsgestel,GM0845,4,625
Someren,GM0847,4,727
Son en Breugel,GM0848,4,685
Steenbergen,GM0851,4,719
Waterland,GM0852,4,660
Tilburg,GM0855,1,2781
Uden,GM0856,3,1364
Valkenswaard,GM0858,3,1463
Veldhoven,GM0861,2,1676
Vught,GM0865,3,1294
Waalre,GM0866,4,836
Waalwijk,GM0867,3,1302
Woensdrecht,GM0873,4,663
Zundert,GM0879,4,540
Wormerland,GM0880,3,1461
Landgraaf,GM0882,3,1456
Beek,GM0888,4,887
Beesel,GM0889,4,740
Bergen (L.),GM0893,5,315
Brunssum,GM0899,2,1671
Gennep,GM0907,4,636
Heerlen,GM0917,2,1815
Kerkrade,GM0928,2,1738
Maastricht,GM0935,2,2451
Meerssen,GM0938,4,614
Mook en Middelaar,GM0944,5,423
Nederweert,GM0946,4,636
Roermond,GM0957,2,1500
Simpelveld,GM0965,4,681
Stein,GM0971,4,901
Vaals,GM0981,3,1039
Venlo,GM0983,2,1638
Venray,GM0984,4,993
Voerendaal,GM0986,4,543
Weert,GM0988,3,1322
Valkenburg aan de Geul,GM0994,4,676
Lelystad,GM0995,3,1369
Horst aan de Maas,GM1507,4,563
Oude IJsselstreek,GM1509,4,644
Teylingen,GM1525,3,1382
Utrechtse Heuvelrug,GM1581,4,781
Oost Gelre,GM1586,4,742
Koggenland,GM1598,5,421
Lansingerland,GM1621,3,1285
Leudal,GM1640,5,383
Maasgouw,GM1641,5,435
Gemert-Bakel,GM1652,4,766
Halderberge,GM1655,4,751
Heeze-Leende,GM1658,4,582
Laarbeek,GM1659,4,628
Reusel-De Mierden,GM1667,4,559
Roerdalen,GM1669,5,383
Roosendaal,GM1674,2,1722
Schouwen-Duiveland,GM1676,5,477
Aa en Hunze,GM1680,5,280
Borger-Odoorn,GM1681,5,262
Cuijk,GM1684,4,868
Landerd,GM1685,5,476
De Wolden,GM1690,5,305
Noord-Beveland,GM1695,5,227
Wijdemeren,GM1696,4,586
Noordenveld,GM1699,4,675
Twenterand,GM1700,4,591
Westerveld,GM1701,5,211
Sint Anthonis,GM1702,5,269
Lingewaard,GM1705,4,948
Cranendonck,GM1706,4,590
Steenwijkerland,GM1708,4,592
Moerdijk,GM1709,4,749
Echt-Susteren,GM1711,4,711
Sluis,GM1714,5,428
Drimmelen,GM1719,4,782
Bernheze,GM1721,4,660
Alphen-Chaam,GM1723,5,310
Bergeijk,GM1724,4,501
Bladel,GM1728,4,683
Gulpen-Wittem,GM1729,5,287
Tynaarlo,GM1730,4,510
Midden-Drenthe,GM1731,5,401
Overbetuwe,GM1734,4,797
Hof van Twente,GM1735,4,607
Neder-Betuwe,GM1740,5,435
Rijssen-Holten,GM1742,3,1092
Geldrop-Mierlo,GM1771,3,1346
Olst-Wijhe,GM1773,5,466
Dinkelland,GM1774,5,468
Westland,GM1783,3,1414
Midden-Delfland,GM1842,3,1322
Berkelland,GM1859,4,657
Bronckhorst,GM1876,5,378
Sittard-Geleen,GM1883,3,1493
Kaag en Braassem,GM1884,4,597
Dantumadiel,GM1891,5,449
Zuidplas,GM1892,3,1163
Peel en Maas,GM1894,4,580
Oldambt,GM1895,4,830
Zwartewaterland,GM1896,4,719
Súdwest-Fryslân,GM1900,4,832
Bodegraven-Reeuwijk,GM1901,3,1124
Eijsden-Margraten,GM1903,5,460
Stichtse Vecht,GM1904,3,1172
Hollands Kroon,GM1911,5,431
Leidschendam-Voorburg,GM1916,1,2888
Goeree-Overflakkee,GM1924,4,618
Pijnacker-Nootdorp,GM1926,3,1498
Nissewaard,GM1930,2,2038
Krimpenerwaard,GM1931,4,780
De Fryske Marren,GM1940,4,553
Gooise Meren,GM1942,2,1907
Berg en Dal,GM1945,4,646
Meierijstad,GM1948,4,981
Waadhoeke,GM1949,5,472
Westerwolde,GM1950,5,287
Midden-Groningen,GM1952,4,852
Beekdaelen,GM1954,5,498
Montferland,GM1955,4,758
Altena,GM1959,4,500
West Betuwe,GM1960,5,452
Vijfheerenlanden,GM1961,4,901
Hoeksche Waard,GM1963,4,824
Het Hogeland,GM1966,5,411
Westerkwartier,GM1969,5,471
Noardeast-Fryslân,GM1970,5,449
Molenlanden,GM1978,5,393
