thid,tpid,ttid,tidp,tidn,tyearid,tstagesn,thaboro,tt1fhm,twalkatw,tcycatw,thmmode,tppw,tcmode,tsdaddr,toland,tshour,tehour,totimea,tunder5,thover5,tnhover5,tshop,twork,tbulknone,tbulkpc,tbulkscr,tbulkcom,tbulkshop,tbulkspo,tbulkwork,tbulkoth,tabtyoung,tabtoth,tabtnone,tpassn,tpktype,tbcychre,tcycshw,tociox,tocioxb,tosect,toaboro,tofarezn,toccz,tdciox,tdcioxb,tdaboro,tdfarezn,tdccz,todcioxba1,todcioxba2,tdur5,tlen,tspeed5,tleavemon,tleavetue,tleavewed,tleavethu,tleavefri,tleavesat,tleavesun,thiwt,tpiwt,thiwtwkd,tpiwtwkd,thiwtttwkd,tpiwtttwkd,tjpurp1,tdpurp1,tdbmmode1,topurp1
900002,800003,232171910102,232171910101,-1,23,3,5,-1,2,2,19,2,2,1,1,17,17,4,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,1,1,0,6,0,0,2,2,5,0,0,3,5,45,6.0,5,0,0,0,0,0,0,0,858.9610862,1164.787209,1222.118143,1722.029578,1714.101685,2450.491589,04 Shopping and personal business,04 Shopping and personal business,04 Taxi/other,07 Home
900002,800004,232171910201,-1,232171910202,23,3,5,1,2,2,19,2,3,3,2,6,7,1,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,5,0,0,1,1,14,0,0,3,2,50,8.0,5,0,0,0,0,0,0,0,858.9610862,850.5512937,1222.118143,1321.946661,1714.101685,1827.34401,04 Shopping and personal business,07 Home,04 Taxi/other,04 Shopping and personal business
900002,800004,232171910202,232171910201,-1,23,3,5,-1,2,2,19,2,3,1,1,15,16,3,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,1,1,0,14,0,0,2,2,5,0,0,3,5,55,8.0,5,0,0,0,0,0,0,0,858.9610862,850.5512937,1222.118143,1321.946661,1714.101685,1827.34401,04 Shopping and personal business,04 Shopping and personal business,04 Taxi/other,07 Home
900002,800005,232171910301,-1,232171910302,23,2,5,1,2,2,13,2,11,2,4,7,8,2,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,30,3.0,5,0,0,0,0,0,0,0,858.9610862,974.4359193,1222.118143,1334.327143,1714.101685,1975.655567,04 Shopping and personal business,04 Shopping and personal business,06 Car (+van/lorry) driver,07 Home
900002,800005,232171910302,232171910301,-1,23,2,5,-1,2,2,13,2,11,1,1,16,16,4,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,30,3.0,5,0,0,0,0,0,0,0,858.9610862,974.4359193,1222.118143,1334.327143,1714.101685,1975.655567,04 Shopping and personal business,07 Home,06 Car (+van/lorry) driver,04 Shopping and personal business
900002,800006,232171910401,-1,232171910402,23,2,5,1,2,2,13,2,10,2,4,8,8,2,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,20,0.9,0,0,0,0,0,0,0,0,858.9610862,909.6933328,1222.118143,1464.173936,1714.101685,1361.468437,06 Other (inc Escort/ Worship),07 Home,01 National Rail/ Overground,06 Other (inc Escort/ Worship)
900002,800006,232171910402,232171910401,-1,23,2,5,-1,2,2,13,2,10,1,1,15,16,3,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,25,0.9,0,0,0,0,0,0,0,0,858.9610862,909.6933328,1222.118143,1464.173936,1714.101685,1361.468437,06 Other (inc Escort/ Worship),06 Other (inc Escort/ Worship),01 National Rail/ Overground,06 Other (inc Escort/ Worship)
900003,800007,232940910102,232940910101,-1,23,1,6,-1,2,2,3,1,13,4,6,1,1,6,0,0,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,7,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,10,2.0,10,0,0,0,0,0,0,0,637.8334485,579.3995393,,,,,01 Usual workplace,01 Usual workplace,07 Car (+van/lorry) passenger,06 Other (inc Escort/ Worship)
900003,800008,232940910201,-1,232940910202,23,2,6,1,1,2,13,2,10,4,1,19,19,5,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,6,0,0,2,2,3,0,0,2,8,30,2.0,0,0,0,0,0,0,0,0,637.8334485,928.2462262,,,,,05 Leisure,05 Leisure,04 Taxi/other,01 Usual workplace
900003,800008,232940910202,232940910201,-1,23,1,6,-1,2,1,2,1,16,1,1,23,23,6,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,2,2,2,3,3,0,0,2,2,6,0,0,2,8,20,2.0,5,0,0,0,0,0,0,0,637.8334485,928.2462262,,,,,01 Usual workplace,01 Usual workplace,04 Taxi/other,05 Leisure
900003,800009,232940910301,-1,232940910302,23,2,6,1,1,2,13,2,10,4,1,17,17,4,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,6,0,0,2,2,3,0,0,2,8,40,2.0,0,0,0,0,0,0,0,0,637.8334485,785.4016573,,,,,05 Leisure,05 Leisure,09 Cycle,07 Home
900003,800009,232940910302,232940910301,-1,23,2,6,-1,1,2,13,2,10,1,1,20,21,5,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,3,0,0,2,2,6,0,0,2,8,40,2.0,0,0,0,0,0,0,0,0,637.8334485,785.4016573,,,,,05 Leisure,07 Home,09 Cycle,05 Leisure
900004,800012,234541710101,-1,234541710102,23,1,32,1,2,2,3,1,13,4,1,14,15,3,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,2,8,-1,-1,3,3,5,32,0,0,3,3,32,0,0,4,8,15,3.0,10,0,0,0,0,0,0,0,305.4388396,334.4467506,,,,,01 Usual workplace,07 Home,02 Underground/ DLR,01 Usual workplace
900004,800012,234541710102,234541710101,-1,23,1,32,-1,2,2,3,1,13,1,10,18,18,4,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,2,7,-1,-1,3,3,5,32,0,0,3,3,32,0,0,4,8,15,3.0,10,0,0,0,0,0,0,0,305.4388396,334.4467506,,,,,06 Other (inc Escort/ Worship),06 Other (inc Escort/ Worship),06 Car (+van/lorry) driver,07 Home
900004,800013,234541710201,-1,234541710202,23,1,32,1,2,2,4,1,16,4,1,14,15,3,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,5,32,0,0,3,3,32,0,0,4,8,15,3.0,10,0,0,0,0,0,0,0,305.4388396,266.7687913,,,,,06 Other (inc Escort/ Worship),07 Home,06 Car (+van/lorry) driver,06 Other (inc Escort/ Worship)
900004,800013,234541710202,234541710201,-1,23,1,32,-1,2,2,4,1,16,1,10,18,18,4,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,5,32,0,0,3,3,32,0,0,4,8,15,3.0,10,0,0,0,0,0,0,0,305.4388396,266.7687913,,,,,01 Usual workplace,01 Usual workplace,01 National Rail/ Overground,07 Home
