OP	OPID	Steekproef	Mode	HHPers	HHSam	HHPlOP	HHLft1	HHLft2	HHLft3	HHLft4	WoPC	WoGem	Sted	GemGr	Prov	Corop	BuurtAdam	MRA	MRDH	Geslacht	Leeftijd	KLeeft	Herkomst	BetWerk	OnbBez	MaatsPart	Opleiding	HHBestInkG	HHGestInkG	HHLaagInk	HHSocInk	HHWelvG	HHRijbewijsAu	HHRijbewijsMo	HHRijbewijsBr	OPRijbewijsAu	OPRijbewijsMo	OPRijbewijsBr	HHAuto	HHAutoL	OPAuto	BrandstofPa1	XBrandstofPa1	BrandstofEPa1	BouwjaarPa1	KBouwjaarPa1	KGewichtPa1	TenaamPa1	BrandstofPa2	XBrandstofPa2	BrandstofEPa2	BouwjaarPa2	KBouwjaarPa2	KGewichtPa2	TenaamPa2	BrandstofPaL	XBrandstofPaL	BrandstofEPaL	BouwjaarPaL	KBouwjaarPaL	KGewichtPaL	HHMotor	OPMotor	HHBrom	OPBrom	HHSnor	OPSnor	HHEFiets	HHBezitVm	OPBezitVm	FqNEFiets	FqEFiets	FqBTM	FqTrein	FqAutoB	FqAutoP	FqBrSnor	OVStKaart	Jaar	Maand	Week	Dag	Weekdag	Feestdag	Weggeweest	RedenNW	RedenNWZ	RedenNWW	RedenNWB	AantVpl	AantOVVpl	AantSVpl	EFiets	AutoEig	AutoHhL	AutoLWg	AutoLPl	AutoBed	AutoDOrg	AutoDPart	AutoDBek	AutoLeen	AutoHuur	AutoAnd	ByzDag	ByzAdr	ByzVvm	ByzTyd	ByzDuur	ByzRoute	ByzReden	ReisduurOP	AfstandOP	AfstandSOP	Verpl	VerplID	VerplNr	Toer	AantRit	Doel	MotiefV	KMotiefV	MeerWink	AardWerk	VertLoc	VertGeb	VertPC	VertPCBL	VertGem	VertProv	VertCorop	VertMRA	VertMRDH	AankGeb	AankPC	AankPCBL	AankGem	AankProv	AankCorop	AankMRA	AankMRDH	PCG	GemG	PCBLG	AfstV	KAfstV	Hvm	HvmRol	KHvm	VertUur	VertMin	KVertTijd	AankUur	AankMin	Reisduur	KReisduur	ActDuur	Kind6	VolgWerk	SAantAdr	SDezPlts	SPlaats1	SPlaats2	SPlaats3	SPlaats4	SPlaats5	AfstS	AfstSBL	SVvm1	SVvm2	SVvm3	SVvm4	SBegUur	SBegMin	SEindUur	SEindMin	CorrVerpl	GehBLVer	Rit	RitID	RitNr	AfstR	AfstRBL	KAfstR	Rvm	RvmRol	RAantIn	KRvm	RVertUur	RVertMin	RAankUur	RAankMin	RReisduur	RReisduurBL	RVertStat	RAankStat	RTSamen	RCorrSnelh	RVliegVer	FactorH	FactorP	FactorV
0	900001	1	1	4	3	3	0	0	2	2	4501	1714	5	4	10	31	0	18	18	2	35	9	1	2	0	1	3	8	6	8	9	5	1	1	1	0	0	0	0	0	0	7	7	6	9995	9	7	3	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	0	0	1	5	4	5	5	2	5	0	2019	1	2	8	3	0	1	0	0	0	0	12	0	0	5	4	4	4	4	4	4	4	4	4	4	4	1	1	2	2	2	2	9	108	109	0	1	5617872904606	6	0	1	2	1	1	3	12	4	0	4501	1	1714	10	31	18	18	0	4501	1	1714	10	31	18	18	0	0	0	11	3	8	4	5	12	52	6	12	57	5	2	128	0	1			 	 	 	 	 											0	0	1	561787290460601	1	11	0	3	8	4	11	5	12	52	12	57	5	0	000	000	13	0	0	122.20163546912153	488.8065418764861	178414.38778491743
0	900001	1	1	4	3	3	0	0	2	2	4501	1714	5	4	10	31	0	18	18	2	35	9	1	2	0	1	3	8	6	8	9	5	1	1	1	0	0	0	0	0	0	7	7	6	9995	9	7	3	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	0	0	1	5	4	5	5	2	5	0	2019	1	2	8	3	0	1	0	0	0	0	12	0	0	5	4	4	4	4	4	4	4	4	4	4	4	1	1	2	2	2	2	9	108	109	0	1	5617872904607	7	0	1	1	1	1	3	12	3	0	4501	1	1714	10	31	18	18	0	4501	1	1714	10	31	18	18	0	0	0	11	3	8	4	5	15	5	8	15	10	5	2	20	0	9			 	 	 	 	 											0	0	1	561787290460701	1	11	0	3	8	4	11	5	15	5	15	10	5	0	000	000	13	0	0	122.20163546912153	488.8065418764861	178414.38778491743
0	900001	1	1	4	3	3	0	0	2	2	4501	1714	5	4	10	31	0	18	18	2	35	9	1	2	0	1	3	8	6	8	9	5	1	1	1	0	0	0	0	0	0	7	7	6	9995	9	7	3	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	0	0	1	5	4	5	5	2	5	0	2019	1	2	8	3	0	1	0	0	0	0	12	0	0	5	4	4	4	4	4	4	4	4	4	4	4	1	1	2	2	2	2	9	108	109	0	1	5617872904608	8	0	1	8	7	4	1	12	1	0	4501	1	1714	10	31	18	18	0	4501	1	1714	10	31	18	18	0	0	0	8	2	8	4	5	15	30	8	15	35	5	2	35	0	9			 	 	 	 	 											0	0	1	561787290460801	1	8	0	2	8	4	11	5	15	30	15	35	5	0	000	000	13	0	0	122.20163546912153	488.8065418764861	178414.38778491743
0	900001	1	1	4	3	3	0	0	2	2	4501	1714	5	4	10	31	0	18	18	2	35	9	1	2	0	1	3	8	6	8	9	5	1	1	1	0	0	0	0	0	0	7	7	6	9995	9	7	3	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	0	0	1	5	4	5	5	2	5	0	2019	1	2	8	3	0	1	0	0	0	0	12	0	0	5	4	4	4	4	4	4	4	4	4	4	4	1	1	2	2	2	2	9	108	109	0	1	5617872904609	9	0	1	1	7	4	3	12	4	0	4501	1	1714	10	31	18	18	0	4501	1	1714	10	31	18	18	0	0	0	8	2	8	4	5	16	10	9	16	15	5	2	15	0	9			 	 	 	 	 											0	0	1	561787290460901	1	8	0	2	8	4	11	5	16	10	16	15	5	0	000	000	13	0	0	122.20163546912153	488.8065418764861	178414.38778491743
0	900001	1	1	4	3	3	0	0	2	2	4501	1714	5	4	10	31	0	18	18	2	35	9	1	2	0	1	3	8	6	8	9	5	1	1	1	0	0	0	0	0	0	7	7	6	9995	9	7	3	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	0	0	1	5	4	5	5	2	5	0	2019	1	2	8	3	0	1	0	0	0	0	12	0	0	5	4	4	4	4	4	4	4	4	4	4	4	1	1	2	2	2	2	9	108	109	0	1	5617872904610	10	1	1	10	9	8	3	12	1	0	4501	1	1714	10	31	18	18	0	4501	1	1714	10	31	18	18	0	0	0	15	3	9	4	6	16	30	9	17	5	35	7	135	0	9			 	 	 	 	 											0	0	1	561787290461001	1	15	0	3	9	4	11	6	16	30	17	5	35	0	000	000	13	0	0	122.20163546912153	488.8065418764861	178414.38778491743
0	900001	1	1	4	3	3	0	0	2	2	4501	1714	5	4	10	31	0	18	18	2	35	9	1	2	0	1	3	8	6	8	9	5	1	1	1	0	0	0	0	0	0	7	7	6	9995	9	7	3	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	0	0	1	5	4	5	5	2	5	0	2019	1	2	8	3	0	1	0	0	0	0	12	0	0	5	4	4	4	4	4	4	4	4	4	4	4	1	1	2	2	2	2	9	108	109	0	1	5617872904611	11	1	1	10	9	8	3	12	4	0	4501	1	1714	10	31	18	18	0	4501	1	1714	10	31	18	18	0	0	0	6	2	9	4	6	19	20	12	19	30	10	3	160	0	9			 	 	 	 	 											0	0	1	561787290461101	1	6	0	2	9	4	11	6	19	20	19	30	10	0	000	000	13	0	0	122.20163546912153	488.8065418764861	178414.38778491743
0	900001	1	1	4	3	3	0	0	2	2	4501	1714	5	4	10	31	0	18	18	2	35	9	1	2	0	1	3	8	6	8	9	5	1	1	1	0	0	0	0	0	0	7	7	6	9995	9	7	3	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	0	0	1	5	4	5	5	2	5	0	2019	1	2	8	3	0	1	0	0	0	0	12	0	0	5	4	4	4	4	4	4	4	4	4	4	4	1	1	2	2	2	2	9	108	109	0	1	5617872904612	12	1	1	10	9	8	3	12	4	0	4501	1	1714	10	31	18	18	0	4501	1	1714	10	31	18	18	0	0	0	3	1	9	4	6	22	10	13	22	15	5	2		0	9			 	 	 	 	 											0	0	1	561787290461201	1	3	0	1	9	4	11	6	22	10	22	15	5	0	000	000	13	0	0	122.20163546912153	488.8065418764861	178414.38778491743
1	900002	1	1	9	4	3	1	3	0	5	6732	228	2	6	6	13	0	18	18	2	33	8	1	1	1	3	3	10	9	8	9	10	5	0	5	1	0	1	4	1	0	2	0	0	2012	3	5	2	1	0	0	2012	3	5	2	2	0	0	2004	1	6	0	0	0	0	0	0	0	1	0	2	5	5	5	1	3	5	0	2019	1	4	25	6	0	1	0	0	0	0	7	0	0	5	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	80	400	0	1	5893414516701	1	0	1	5	4	9	3	12	1	0	6732	1	228	6	13	18	18	0	6732	1	228	6	13	18	18	0	0	0	30	4	1	1	1	8	30	4	8	35	5	2	2	1	9			 	 	 	 	 											0	0	1	589341451670101	1	30	0	4	1	1	4	1	8	30	8	35	5	0	000	000	13	0	0	54.72741416802517	437.81931334420136	159804.0493706335
0	900002	1	1	9	4	3	1	3	0	5	6732	228	2	6	6	13	0	18	18	2	33	8	1	1	1	3	3	10	9	8	9	10	5	0	5	1	0	1	4	1	0	2	0	0	2012	3	5	2	1	0	0	2012	3	5	2	2	0	0	2004	1	6	0	0	0	0	0	0	0	1	0	2	5	5	5	1	3	5	0	2019	1	4	25	6	0	1	0	0	0	0	7	0	0	5	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	80	400	0	1	5893414516702	2	0	1	1	4	9	3	12	4	0	6732	1	228	6	13	18	18	0	6732	1	228	6	13	18	18	0	0	0	30	4	1	1	1	8	37	4	8	42	5	2	193	1	9			 	 	 	 	 											0	0	1	589341451670201	1	30	0	4	1	1	2	1	8	37	8	42	5	0	000	000	13	0	0	54.72741416802517	437.81931334420136	159804.0493706335
0	900002	1	1	9	4	3	1	3	0	5	6732	228	2	6	6	13	0	18	18	2	33	8	1	1	1	3	3	10	9	8	9	10	5	0	5	1	0	1	4	1	0	2	0	0	2012	3	5	2	1	0	0	2012	3	5	2	2	0	0	2004	1	6	0	0	0	0	0	0	0	1	0	2	5	5	5	1	3	5	0	2019	1	4	25	6	0	1	0	0	0	0	7	0	0	5	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	80	400	0	1	5893414516703	3	0	1	5	4	9	3	12	1	0	6732	1	228	6	13	18	18	0	6732	1	228	6	13	18	18	0	0	0	30	4	1	1	1	11	55	5	12	0	5	2	10	1	9			 	 	 	 	 											0	0	1	589341451670301	1	30	0	4	1	1	2	1	11	55	12	0	5	0	000	000	13	0	0	54.72741416802517	437.81931334420136	159804.0493706335
0	900002	1	1	9	4	3	1	3	0	5	6732	228	2	6	6	13	0	18	18	2	33	8	1	1	1	3	3	10	9	8	9	10	5	0	5	1	0	1	4	1	0	2	0	0	2012	3	5	2	1	0	0	2012	3	5	2	2	0	0	2004	1	6	0	0	0	0	0	0	0	1	0	2	5	5	5	1	3	5	0	2019	1	4	25	6	0	1	0	0	0	0	7	0	0	5	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	80	400	0	1	5893414516704	4	0	1	1	4	9	3	12	4	0	6732	1	228	6	13	18	18	0	6732	1	228	6	13	18	18	0	0	0	30	4	1	1	1	12	10	6	12	15	5	2	315	1	9			 	 	 	 	 											0	0	1	589341451670401	1	30	0	4	1	1	4	1	12	10	12	15	5	0	000	000	13	0	0	54.72741416802517	437.81931334420136	159804.0493706335
0	900002	1	1	9	4	3	1	3	0	5	6732	228	2	6	6	13	0	18	18	2	33	8	1	1	1	3	3	10	9	8	9	10	5	0	5	1	0	1	4	1	0	2	0	0	2012	3	5	2	1	0	0	2012	3	5	2	2	0	0	2004	1	6	0	0	0	0	0	0	0	1	0	2	5	5	5	1	3	5	0	2019	1	4	25	6	0	1	0	0	0	0	7	0	0	5	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	80	400	0	1	5893414516705	5	0	1	5	4	9	3	12	1	0	6732	1	228	6	13	18	18	0	6733	1	228	6	13	18	18	0	0	0	80	7	1	2	2	17	30	10	17	45	15	4	30	1	9			 	 	 	 	 											0	0	1	589341451670501	1	80	0	7	1	2	6	2	17	30	17	45	15	0	000	000	13	0	0	54.72741416802517	437.81931334420136	159804.0493706335
0	900002	1	1	9	4	3	1	3	0	5	6732	228	2	6	6	13	0	18	18	2	33	8	1	1	1	3	3	10	9	8	9	10	5	0	5	1	0	1	4	1	0	2	0	0	2012	3	5	2	1	0	0	2012	3	5	2	2	0	0	2004	1	6	0	0	0	0	0	0	0	1	0	2	5	5	5	1	3	5	0	2019	1	4	25	6	0	1	0	0	0	0	7	0	0	5	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	80	400	0	1	5893414516706	6	0	1	13	12	3	3	12	4	0	6733	1	228	6	13	18	18	0	6716	1	228	6	13	18	18	0	0	0	80	7	1	2	2	18	15	11	18	35	20	5	85	1	9			 	 	 	 	 											0	0	1	589341451670601	1	80	0	7	1	2	4	2	18	15	18	35	20	0	000	000	13	0	0	54.72741416802517	437.81931334420136	159804.0493706335
0	900002	1	1	9	4	3	1	3	0	5	6732	228	2	6	6	13	0	18	18	2	33	8	1	1	1	3	3	10	9	8	9	10	5	0	5	1	0	1	4	1	0	2	0	0	2012	3	5	2	1	0	0	2012	3	5	2	2	0	0	2004	1	6	0	0	0	0	0	0	0	1	0	2	5	5	5	1	3	5	0	2019	1	4	25	6	0	1	0	0	0	0	7	0	0	5	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	80	400	0	1	5893414516707	7	0	1	1	12	3	3	12	4	0	6716	1	228	6	13	18	18	0	6732	1	228	6	13	18	18	0	0	0	120	8	1	2	2	20	0	13	20	25	25	6		1	9			 	 	 	 	 											0	0	1	589341451670701	1	120	0	8	1	2	4	2	20	0	20	25	25	0	000	000	13	0	0	54.72741416802517	437.81931334420136	159804.0493706335
1	900003	1	1	1	1	1	0	0	0	1	2033	392	1	7	8	21	0	11	18	1	41	10	3	3	0	2	3	8	8	8	9	7	1	1	1	1	1	1	1	0	1	1	0	0	2007	1	3	1	7	7	6	9995	9	7	3	7	7	6	9995	9	7	1	1	0	0	0	0	0	3	3	5	5	5	5	1	5	5	4	2019	2	8	18	2	0	1	0	0	0	0	3	0	0	5	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	195	2030	0	1	5896518869101	1	0	1	3	2	2	3	12	1	0	2033	1	392	8	21	11	18	0	0000	1	9999	99	99	99	99	0	0	0	940	14	1	2	2	14	0	8	15	15	75	9	105	0	1			 	 	 	 	 											0	0	1	589651886910101	1	940	0	14	1	2	2	2	14	0	15	15	75	0	000	000	13	0	0	327.6108193272364	327.6108193272364	119577.94905444128
0	900003	1	1	1	1	1	0	0	0	1	2033	392	1	7	8	21	0	11	18	1	41	10	3	3	0	2	3	8	8	8	9	7	1	1	1	1	1	1	1	0	1	1	0	0	2007	1	3	1	7	7	6	9995	9	7	3	7	7	6	9995	9	7	1	1	0	0	0	0	0	3	3	5	5	5	5	1	5	5	4	2019	2	8	18	2	0	1	0	0	0	0	3	0	0	5	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	195	2030	0	1	5896518869102	2	0	1	3	2	2	3	12	3	0	0000	1	9999	99	99	99	99	0	0000	1	9999	99	99	99	99	0	0	0	940	14	1	2	2	17	0	10	18	30	90	10	120	0	1			 	 	 	 	 											0	0	1	589651886910201	1	940	0	14	1	2	2	2	17	0	18	30	90	0	000	000	13	0	0	327.6108193272364	327.6108193272364	119577.94905444128
0	900003	1	1	1	1	1	0	0	0	1	2033	392	1	7	8	21	0	11	18	1	41	10	3	3	0	2	3	8	8	8	9	7	1	1	1	1	1	1	1	0	1	1	0	0	2007	1	3	1	7	7	6	9995	9	7	3	7	7	6	9995	9	7	1	1	0	0	0	0	0	3	3	5	5	5	5	1	5	5	4	2019	2	8	18	2	0	1	0	0	0	0	3	0	0	5	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	11	195	2030	0	1	5896518869103	3	0	1	1	2	2	3	12	3	0	0000	1	9999	99	99	99	99	0	2033	1	392	8	21	11	18	0	0	0	150	9	1	1	1	20	30	13	21	0	30	7		0	9			 	 	 	 	 											0	0	1	589651886910301	1	150	0	9	1	1	1	1	20	30	21	0	30	0	000	000	13	0	0	327.6108193272364	327.6108193272364	119577.94905444128
